id,title,organization,institution_code,collection_code,catalog_number,occurrence_id,idigbio_uuid,idigbio_recordset_id,type,vouchered,taxonomy,sex,creator,date_uploaded,date_modified
000S14633,dpc:ost:125,Duke Lemur Center Division of Fossil Primates,dpc,ost,125,,,,Biological Specimen,Yes,Pan troglodytes; Pan troglodytes,,,2018-08-06T19:00:08Z,2021-01-09T16:08:16Z
000S14632,uf:uf:409265,University of Florida Vertebrate Paleontology,uf,uf,409265,921ccf58-9916-4a4f-a4b0-814632248140,a7e45349-1933-488f-9a67-b4a134af6850,f9a33279-d6ba-41c7-a511-ef6adfcb6e20,Biological Specimen,Yes,Teilhardina brandti; Teilhardina brandti,,florida mus. nat. hist. crew,2018-08-06T16:44:21Z,2021-01-09T16:08:14Z
000S14589,uf:uf:333700,University of Florida Vertebrate Paleontology,uf,uf,333700,43CBB967-2E6F-4879-AE31-813DD1503856,e1bc47ca-29d9-4417-8622-b2b9cc62b1f3,f9a33279-d6ba-41c7-a511-ef6adfcb6e20,Biological Specimen,Yes,Teilhardina brandti; Teilhardina brandti,,florida mus. nat. hist. crew,2018-08-04T19:29:02Z,2021-01-09T16:05:13Z
000S14509,du:ea:RFK-Mpt,Evolutionary Anthropology Department,du,ea,RFK-Mpt,,,,Biological Specimen,Yes,Miopithecus talapoin; Miopithecus talapoin,,,2018-08-03T13:27:09Z,2021-01-09T16:00:32Z
000S14445,uwbm:mammal specimens:uwbm:mamm:75773,"UW Burke Museum of Natural History and Culture, Mammalogy Collection",uwbm,mammal specimens,uwbm:mamm:75773,http://arctos.database.museum/guid/UWBM:Mamm:75773?seid=3643654,7372fce7-6af6-4c9f-b9c6-1889d44d95c1,21ea1ef6-4a2a-4ff2-a18b-5c0f297fc1cf,Biological Specimen,Yes,Callithrix pygmaea; Cebuella pygmaea,Female,,2018-08-01T15:23:07Z,2021-01-09T15:57:37Z
000S14425,uwbm:mammal specimens:uwbm:mamm:81037,"UW Burke Museum of Natural History and Culture, Mammalogy Collection",uwbm,mammal specimens,uwbm:mamm:81037,http://arctos.database.museum/guid/UWBM:Mamm:81037?seid=3667229,3caf72f5-88fc-438e-8022-907d3e6f381a,21ea1ef6-4a2a-4ff2-a18b-5c0f297fc1cf,Biological Specimen,Yes,Erythrocebus patas; Erythrocebus patas,Female,,2018-07-31T03:46:33Z,2021-01-09T15:56:36Z
000S14239,usnm:paleobiology:533554,NMNH Paleobiology Specimen Records,usnm,paleobiology,533554,,,6c6f34ed-58a4-4ba2-b9c7-34524f79a349,Biological Specimen,Yes,Teilhardina brandti; Teilhardina brandti,,,2018-07-22T20:13:03Z,2021-01-09T15:46:59Z
000S14238,usnm:paleobiology:525544,NMNH Paleobiology Specimen Records,usnm,paleobiology,525544,,,6c6f34ed-58a4-4ba2-b9c7-34524f79a349,Biological Specimen,Yes,Teilhardina brandti; Teilhardina brandti,,,2018-07-22T20:12:50Z,2021-01-09T15:46:51Z
000S14237,usnm:paleobiology:525543,NMNH Paleobiology Specimen Records,usnm,paleobiology,525543,,,6c6f34ed-58a4-4ba2-b9c7-34524f79a349,Biological Specimen,Yes,Teilhardina brandti; Teilhardina brandti,,,2018-07-22T20:12:36Z,2021-01-09T15:46:42Z
000S14236,usnm:paleobiology:493913,NMNH Paleobiology Specimen Records,usnm,paleobiology,493913,,,6c6f34ed-58a4-4ba2-b9c7-34524f79a349,Biological Specimen,Yes,Teilhardina brandti; Teilhardina brandti,,,2018-07-22T20:12:13Z,2021-01-09T15:46:42Z
000S14068,ypm:vz:ypm mam 014997,"Vertebrate Zoology Division - Mammalogy, Yale Peabody Museum",ypm,vz,ypm mam 014997,,,76015dea-c909-4e6d-a8e1-3bf35763571e,Biological Specimen,Yes,Gorilla gorilla; Gorilla gorilla,,,2018-07-17T02:06:47Z,2021-01-09T15:36:47Z
000S14017,amnh:mammals:m-211508,AMNH Mammal Collections,amnh,mammals,m-211508,urn:catalog:AMNH:Mammals:M-211508,88b09828-40cd-492b-a4fb-fc0550591e89,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Male,s. anderson,2018-07-13T17:16:26Z,2021-01-09T15:33:28Z
000S14016,amnh:mammals:m-211499,AMNH Mammal Collections,amnh,mammals,m-211499,urn:catalog:AMNH:Mammals:M-211499,dd2b3875-b9b6-4201-b89b-fe908152b8f5,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Male,d. e. anez,2018-07-13T17:14:21Z,2021-01-09T15:33:23Z
000S14005,amnh:mammals:m-211524,AMNH Mammal Collections,amnh,mammals,m-211524,urn:catalog:AMNH:Mammals:M-211524,baf4370f-104c-42cc-8b71-aba8f63d997d,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Female,d. e. anez,2018-07-13T13:16:15Z,2021-01-09T15:32:39Z
000S14004,amnh:mammals:m-211522,AMNH Mammal Collections,amnh,mammals,m-211522,urn:catalog:AMNH:Mammals:M-211522,c8df2236-a065-4710-b50f-4cd6f431032f,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Female,d. e. anez,2018-07-13T13:15:25Z,2021-01-09T15:32:23Z
000S14003,amnh:mammals:m-211520,AMNH Mammal Collections,amnh,mammals,m-211520,urn:catalog:AMNH:Mammals:M-211520,606e6c56-a288-4829-b333-90b25a98dd5b,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Female,d. e. anez,2018-07-13T13:14:33Z,2021-01-09T15:32:21Z
000S14002,amnh:mammals:m-211504,AMNH Mammal Collections,amnh,mammals,m-211504,urn:catalog:AMNH:Mammals:M-211504,fd737c63-b0e4-42bd-b144-42ba64eada06,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Male,s. anderson,2018-07-13T13:12:30Z,2021-01-09T15:32:19Z
000S14001,amnh:mammals:m-211502,AMNH Mammal Collections,amnh,mammals,m-211502,urn:catalog:AMNH:Mammals:M-211502,1b42b0ff-66d8-4794-9b9e-b7d0baf1e54f,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Female,d. e. anez,2018-07-13T13:12:00Z,2021-01-09T15:32:04Z
000S14000,amnh:mammals:m-211501,AMNH Mammal Collections,amnh,mammals,m-211501,urn:catalog:AMNH:Mammals:M-211501,2feb4e6c-ed19-4dca-933b-edab44b0181f,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Female,s. anderson,2018-07-13T13:11:26Z,2021-01-09T15:32:02Z
000S13999,amnh:mammals:m-211498,AMNH Mammal Collections,amnh,mammals,m-211498,urn:catalog:AMNH:Mammals:M-211498,b06883dc-27f7-4eee-aac4-9cbc86e6a427,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Male,s. anderson,2018-07-13T13:10:48Z,2021-01-09T15:32:01Z
000S13998,amnh:mammals:m-211497,AMNH Mammal Collections,amnh,mammals,m-211497,urn:catalog:AMNH:Mammals:M-211497,c88a21e8-fe4b-4cee-99e7-cfeaf63c8dee,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Female,s. anderson,2018-07-13T13:10:05Z,2021-01-09T15:31:59Z
000S13997,amnh:mammals:m-211496,AMNH Mammal Collections,amnh,mammals,m-211496,urn:catalog:AMNH:Mammals:M-211496,86523212-1bd8-4411-96b3-f5eec06cfecb,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Male,s. anderson,2018-07-13T13:07:56Z,2021-01-09T15:31:59Z
000S13960,amnh:mammals:m-211495,AMNH Mammal Collections,amnh,mammals,m-211495,urn:catalog:AMNH:Mammals:M-211495,83234c2b-1abc-4b8c-b305-eab3b60fecbd,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Alouatta caraya; Alouatta caraya,Female,s. anderson,2018-07-11T17:27:45Z,2021-01-09T15:29:01Z
000S13949,amnh:mammals:m-54091,AMNH Mammal Collections,amnh,mammals,m-54091,urn:catalog:AMNH:Mammals:M-54091,425e6e95-f1a7-4382-a886-516d19da7908,cb790bee-26da-40ed-94e0-d179618f9bd4,Biological Specimen,Yes,Gorilla gorilla beringei; Gorilla gorilla beringei,Female,c. e. akeley,2018-07-10T17:17:27Z,2021-01-09T15:27:57Z
000S13875,ummp:vp:36027,Museum of Paleontology,ummp,vp,36027,,,,Biological Specimen,Yes,Cantius ralstoni; Cantius ralstoni,,,2018-07-04T17:47:01Z,2021-01-09T15:22:47Z
000S13850,sbu:AS-Hand43,Anatomical Sciences Collection,sbu,,AS-Hand43,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T17:43:18Z,2021-01-09T15:21:00Z
000S13848,sbu:AS-Hand42,Anatomical Sciences Collection,sbu,,AS-Hand42,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T17:13:51Z,2021-01-09T15:20:57Z
000S13849,sbu:AS-Hand44,Anatomical Sciences Collection,sbu,,AS-Hand44,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T17:43:04Z,2021-01-09T15:21:00Z
000S13847,sbu:AS-Hand41,Anatomical Sciences Collection,sbu,,AS-Hand41,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T17:12:25Z,2021-01-09T15:20:57Z
000S13846,sbu:AS-Hand40,Anatomical Sciences Collection,sbu,,AS-Hand40,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T17:00:03Z,2021-01-09T15:20:57Z
000S13845,sbu:AS-Hand39,Anatomical Sciences Collection,sbu,,AS-Hand39,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T17:00:00Z,2021-01-09T15:20:56Z
000S13844,sbu:AS-Hand38,Anatomical Sciences Collection,sbu,,AS-Hand38,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T16:54:49Z,2021-01-09T15:20:56Z
000S13843,sbu:AS-Hand37,Anatomical Sciences Collection,sbu,,AS-Hand37,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T16:54:47Z,2021-01-09T15:20:56Z
000S13842,sbu:AS-Hand35,Anatomical Sciences Collection,sbu,,AS-Hand35,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T16:28:33Z,2021-01-09T15:20:55Z
000S13841,sbu:AS-Hand36,Anatomical Sciences Collection,sbu,,AS-Hand36,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T16:28:31Z,2021-01-09T15:20:45Z
000S13840,sbu:AS-Hand34,Anatomical Sciences Collection,sbu,,AS-Hand34,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T16:08:40Z,2021-01-09T15:20:36Z
000S13838,sbu:AS-Hand33,Anatomical Sciences Collection,sbu,,AS-Hand33,,,,Biological Specimen,No,Homo sapiens; Homo sapiens,,,2018-07-02T16:08:39Z,2021-01-09T15:20:33Z
000S13837,sbu:AS-Hand32,Anatomical Sciences Collection,sbu,,AS-Hand32,,,,Biological Specimen,Yes,Homo sapiens; Homo sapiens,,,2018-07-02T16:03:41Z,2021-01-09T15:20:28Z
000S13755,usnm:mammals:395515,NMNH Extant Specimen Records,usnm,mammals,395515,http://n2t.net/ark:/65665/39aa92c19-56dc-4052-b443-d2f9bcc70b58,1f9ef306-c8df-4939-9013-377c0a1e7ae9,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,Biological Specimen,Yes,Lemur catta; Lemur catta,Female,collector unknown,2018-06-28T20:44:54Z,2021-01-09T15:14:55Z
000S13442,irsnb:m:2313,Institut Royal des Sciences Naturelles del Belgique,irsnb,m,2313,,,,Biological Specimen,Yes,Teilhardina belgica; Teilhardina belgica,,Paul Gigase,2018-06-27T14:54:03Z,2021-01-09T14:50:58Z
000S13441,irsnb:m:2312,Institut Royal des Sciences Naturelles del Belgique,irsnb,m,2312,,,,Biological Specimen,Yes,Teilhardina belgica; Teilhardina belgica,,Richard Smith,2018-06-27T14:49:21Z,2021-01-09T14:50:44Z
000S13440,irsnb:m:2311,Institut Royal des Sciences Naturelles del Belgique,irsnb,m,2311,,,,Biological Specimen,Yes,Teilhardina belgica; Teilhardina belgica,,Richard Smith,2018-06-27T14:45:31Z,2021-01-09T14:50:38Z
000S13439,irsnb:m:2310,Institut Royal des Sciences Naturelles del Belgique,irsnb,m,2310,,,,Biological Specimen,Yes,Teilhardina belgica; Teilhardina belgica,,Richard Smith,2018-06-27T14:43:51Z,2021-01-09T14:50:34Z
