,X,TAXA,GENUS,SPECIES,LOCOMOTION,LOCOMOTION2,SUBSTRATE,GRP,LOCSUB,,SEX,MATURITY,MASS (KG)
38,Colobus-guereza-AMNH-27711-humerus,Colobus guereza,Colobus,guereza,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,13.5
39,Colobus-guereza-AMNH-52206-humerus,Colobus guereza,Colobus,guereza,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,13.5
40,Colobus-guereza-AMNH-52229-humerus,Colobus guereza,Colobus,guereza,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,13.5
41,Colobus-guereza-AMNH-52248-humerus,Colobus guereza,Colobus,guereza,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,13.5
42,Galagoides-demidovii-AMNH-50984-humerus,Galagoides demidoff,Galagoides,demidoff,quadruped,leaper,arboreal,Lemur,arboreal quadruped,,Female,,0.06
43,Galagoides-demidovii-DLC-3022m-humerus,Galagoides demidoff,Galagoides,demidoff,quadruped,leaper,arboreal,Lemur,arboreal quadruped,,,,0.06
44,Gorilla-gorilla-PRICT-1352-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,170.4
45,Gorilla-gorilla-PRICT-1491-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,170.4
46,Gorilla-gorilla-PRICT-2764-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,170.4
47,Gorilla-gorilla-PRICT-2779-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,170.4
48,Gorilla-gorilla-PRICT-2871-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Female,,71.5
49,Gorilla-gorilla-PRICT-316-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,176
50,Gorilla-gorilla-YPM-014998-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,,,71.5
51,Hylobates-hoolock-AMNH-201742-humerus,Hylobates hoolock,Hylobates,hoolock,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,6.87
52,Hylobates-hoolock-AMNH-201743-humerus,Hylobates hoolock,Hylobates,hoolock,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,6.88
53,Hylobates-klossii-AMNH-103344-humerus,Hylobates klossii,Hylobates,klossii,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,5.67
54,Hylobates-klossii-AMNH-103345-humerus,Hylobates klossii,Hylobates,klossii,suspension,,arboreal,Hominoid,arboreal suspension,,Male,immature,5.67
55,Hylobates-klossii-AMNH-103346-humerus,Hylobates klossii,Hylobates,klossii,suspension,,arboreal,Hominoid,arboreal suspension,,Male,immature,5.67
56,Hylobates-klossii-AMNH-103347-humerus,Hylobates klossii,Hylobates,klossii,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,5.67
57,Hylobates-lar-MCZ-41411-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,4.989516074
58,Hylobates-lar-MCZ-41412-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,5.34
59,Hylobates-lar-MCZ-41416-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,5.34
60,Hylobates-lar-MCZ-41418-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,5.34
61,Hylobates-lar-MCZ-41421-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,3.855535148
62,Hylobates-lar-MCZ-41436-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,5.443108445
63,Hylobates-lar-MCZ-41454-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,4.309127519
64,Hylobates-lar-MCZ-41460-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,5.443108445
65,Hylobates-lar-MCZ-41463-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid,arboreal suspension,,Female,,5.66990463
66,Hylobates-lar-MCZ-41493-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid,arboreal suspension,,,,5.62
67,Hylobates-lar-PRICT-461-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,4.309127519
68,Hylobates-syndactylus-AMNH-202326-humerus,Hylobates syndactylus,Hylobates,syndactylus,suspension,,arboreal,Hominoid,arboreal suspension,,,,11.3
69,Hylobates-syndactylus-DU.EA-258-humerus,Hylobates syndactylus,Hylobates,syndactylus,suspension,,arboreal,Hominoid,arboreal suspension,,,,11.3
70,Hylobates-syndactylus-PRICT-1016-humerus,Hylobates syndactylus,Hylobates,syndactylus,suspension,,arboreal,Hominoid,arboreal suspension,,Male,,11.9
71,Lagothrix-lagotricha-AMNH-188150-humerus,Lagothrix lagotricha,Lagothrix,lagotricha,quadruped,,arboreal,New World Monkeys,arboreal quadruped,,Female,,7.02
72,Lagothrix-lagotricha-AMNH-188153-humerus,Lagothrix lagotricha,Lagothrix,lagotricha,quadruped,,arboreal,New World Monkeys,arboreal quadruped,,Female,,7.02
73,Lagothrix-lagotricha-AMNH-188154-humerus,Lagothrix lagotricha,Lagothrix,lagotricha,quadruped,,arboreal,New World Monkeys,arboreal quadruped,,Female,,7.02
74,Lagothrix-lagotricha-AMNH-188156-humerus,Lagothrix lagotricha,Lagothrix,lagotricha,quadruped,,arboreal,New World Monkeys,arboreal quadruped,,Female,,7.02
75,Lemur-catta-AMNH-170739-humerus,Lemur catta,Lemur,catta,quadruped,,terrestrial,Lemur,terrestrial quadruped,,,,2.21
76,Lemur-catta-AMNH-170740-humerus,Lemur catta,Lemur,catta,quadruped,,terrestrial,Lemur,terrestrial quadruped,,,,2.21
77,Macaca-fascicularis-MCZ-35571-humerus,Macaca fascicularis,Macaca,fascicularis,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,3.855535148
78,Macaca-fascicularis-MCZ-35608-humerus,Macaca fascicularis,Macaca,fascicularis,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,4.309127519
79,Macaca-fascicularis-MCZ-35612-humerus,Macaca fascicularis,Macaca,fascicularis,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,4.989516074
80,Macaca-fascicularis-MCZ-35613-humerus,Macaca fascicularis,Macaca,fascicularis,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,4.989516074
81,Macaca-fascicularis-MCZ-35619-humerus,Macaca fascicularis,Macaca,fascicularis,quadruped,,arboreal,Old World Monkey,arboreal quadruped,,Male,,5.443108445
82,Macaca-mulatta-UCD-38252-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,9.9
83,Macaca-mulatta-UCD-38328-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,9.9
84,Macaca-mulatta-UCD-38341-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,9.9
85,Macaca-mulatta-UCD-38465-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,9.9
86,Macaca-mulatta-UCD-39026-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,9.9
87,Macaca-mulatta-UCD-39242-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,9.9
88,Macaca-mulatta-UCD-39650-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,9.9
89,Macaca-mulatta-UCD-39882-humerus,Macaca mulatta,Macaca,mulatta,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,9.9
