,TAXA,GENUS,SPECIES,LOCOMOTION,LOCOMOTION2,SUBSTRATE,GRP
Gorilla-gorilla-YPM-014998-humerus,Gorilla gorilla,Gorilla,gorilla,quadruped,,terrestrial,Hominoid
Hylobates-hoolock-AMNH-201742-humerus,Hylobates hoolock,Hylobates,hoolock,suspension,,arboreal,Hominoid
Hylobates-hoolock-AMNH-201743-humerus,Hylobates hoolock,Hylobates,hoolock,suspension,,arboreal,Hominoid
Hylobates-klossii-AMNH-103344-humerus,Hylobates klossii,Hylobates,klossii,suspension,,arboreal,Hominoid
Hylobates-klossii-AMNH-103345-humerus,Hylobates klossii,Hylobates,klossii,suspension,,arboreal,Hominoid
Hylobates-klossii-AMNH-103346-humerus,Hylobates klossii,Hylobates,klossii,suspension,,arboreal,Hominoid
Hylobates-klossii-AMNH-103347-humerus,Hylobates klossii,Hylobates,klossii,suspension,,arboreal,Hominoid
Hylobates-lar-MCZ-41411-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid
Hylobates-lar-MCZ-41412-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid
Hylobates-lar-MCZ-41416-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid
Hylobates-lar-MCZ-41418-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid
Hylobates-lar-MCZ-41421-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid
Hylobates-lar-MCZ-41436-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid
Hylobates-lar-MCZ-41454-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid
Hylobates-lar-MCZ-41460-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid
Hylobates-lar-MCZ-41463-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid
Hylobates-lar-MCZ-41493-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid
Hylobates-lar-PRICT-461-humerus,Hylobates lar,Hylobates,lar,suspension,,arboreal,Hominoid
Hylobates-syndactylus-AMNH-202326-humerus,Hylobates syndactylus,Hylobates,syndactylus,suspension,,arboreal,Hominoid
Hylobates-syndactylus-DU.EA-258-humerus,Hylobates syndactylus,Hylobates,syndactylus,suspension,,arboreal,Hominoid
Hylobates-syndactylus-PRICT-1016-humerus,Hylobates syndactylus,Hylobates,syndactylus,suspension,,arboreal,Hominoid
Lagothrix-lagotricha-AMNH-188150-humerus,Lagothrix lagotricha,Lagothrix,lagotricha,quadruped,,arboreal,New World Monkeys
Lagothrix-lagotricha-AMNH-188153-humerus,Lagothrix lagotricha,Lagothrix,lagotricha,quadruped,,arboreal,New World Monkeys
Lagothrix-lagotricha-AMNH-188154-humerus,Lagothrix lagotricha,Lagothrix,lagotricha,quadruped,,arboreal,New World Monkeys
Lagothrix-lagotricha-AMNH-188156-humerus,Lagothrix lagotricha,Lagothrix,lagotricha,quadruped,,arboreal,New World Monkeys
Lemur-catta-AMNH-170739-humerus,Lemur catta,Lemur,catta,quadruped,,terrestrial,Lemur
Lemur-catta-AMNH-170740-humerus,Lemur catta,Lemur,catta,quadruped,,terrestrial,Lemur
Macaca-fascicularis-MCZ-35571-humerus,Macaca fascicularis,Macaca,fascicularis,quadruped,,arboreal,Old World Monkey
Macaca-fascicularis-MCZ-35608-humerus,Macaca fascicularis,Macaca,fascicularis,quadruped,,arboreal,Old World Monkey
Macaca-fascicularis-MCZ-35612-humerus,Macaca fascicularis,Macaca,fascicularis,quadruped,,arboreal,Old World Monkey
Macaca-fascicularis-MCZ-35613-humerus,Macaca fascicularis,Macaca,fascicularis,quadruped,,arboreal,Old World Monkey
Macaca-fascicularis-MCZ-35619-humerus,Macaca fascicularis,Macaca,fascicularis,quadruped,,arboreal,Old World Monkey
